date,equity,peak,drawdown_pct,total_trades
2026-07-03,1000.00,1000.00,0.00,0
2026-07-03,1000.00,1000.00,0.00,0
2026-07-04,1000.00,1000.00,0.00,0
2026-07-05,1000.00,1000.00,0.00,0
2026-07-06,1013.49,1013.49,0.00,1
2026-07-07,988.52,1013.49,2.46,3
2026-07-07,979.87,1013.49,3.32,4
2026-07-08,979.87,1013.49,3.32,4
2026-07-09,979.87,1013.49,3.32,4
2026-07-10,977.46,1013.49,3.55,5
2026-07-11,964.82,1013.49,4.80,6
2026-07-12,979.39,1013.49,3.36,7
2026-07-13,945.74,1013.49,6.68,9
2026-07-13,926.38,1013.49,8.59,10
2026-07-14,926.38,1013.49,8.59,10
2026-07-14,924.18,1013.49,8.81,11
2026-07-14,924.18,1013.49,8.81,11
2026-07-14,924.18,1013.49,8.81,11
